,CO2 (ppm),CH4 (ppb),N2O (ppb),CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL
1781,278.5644534412919,776.271757440624,273.4557589317755,34.49632042905883,0.0,0.0,0.0,5.5167754219389324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.09750128715984,547.9956352013432
1782,278.5959106682687,776.9583921886402,273.47746367393347,34.49627796309501,0.0,0.0,0.0,5.636110026019207e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159842,547.9956352013173
1783,278.62768785629976,777.4397578537986,273.4984591647439,34.49623549798051,0.0,0.0,0.0,5.734567395179084e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013078
1784,278.65048597057546,777.7115985753795,273.5188388974547,34.49619303371529,0.0,0.0,0.0,5.815799939725539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013043
1785,278.67806347748876,777.885066909774,273.53865545300505,34.496150570299356,0.0,0.0,0.0,5.88282109161897e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.995635201303
1786,278.7084691329089,777.998609989911,273.5579409690448,34.49610810773268,0.0,0.0,0.0,5.9381170918390985e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013025
1787,278.74054881658486,778.0386411997232,273.5766469048982,34.496065646015246,0.0,0.0,0.0,5.983739220882872e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1788,278.77389143290003,778.1367915303964,273.5948460926156,34.49602318514704,0.0,0.0,0.0,6.0213798938104063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1789,278.80812934941184,778.213082985544,273.6125706348062,34.49598072512804,0.0,0.0,0.0,6.052435442688412e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1790,278.84308529363756,778.1998765038645,273.6299129397851,34.49593826595824,0.0,0.0,0.0,6.07805791543142e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1791,278.8789642666788,778.1067534120891,273.6468842414894,34.49589580763761,0.0,0.0,0.0,6.099197812589416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
