,CO2,CH4,N2O,otherGHG,FO3tr,O3st,H2Ost,contrails,aerosols,BCsnow,landuse,volcanic,solar
1940,0.4472763607142677,0.1614475130675337,0.039328520101746416,0.004362123921298398,0.12415515124113086,-0.0018515935142874316,0.019373701568104043,0.0,-0.834338604976105,0.019907540173053153,-0.10074445661799993,0.107048144,0.0655609
1941,0.4543883965425423,0.1649006723794113,0.03977434577291288,0.004611291550570624,0.12649566590989622,-0.0019346556006677293,0.019788080685529355,0.0,-0.8517011787266516,0.020026205191594565,-0.10174079310199993,0.107048144,0.0438354
1942,0.4615030514565649,0.16835359071768172,0.0403065893067459,0.0048855702228115675,0.12922084774734452,-0.002020000443964125,0.020202430886121805,0.0,-0.874072885405347,0.020342150803461065,-0.10276125285399992,0.107048144,0.0182861
1943,0.46875459792757795,0.1717717315786803,0.04084883560766994,0.005179924974754903,0.1319557076171157,-0.002106271919843622,0.020612607789441635,0.0,-0.8781800159265154,0.020341656365883806,-0.10377579557799992,0.107048144,-0.0072418
1944,0.47572927664993425,0.17543562737007412,0.0414843724399098,0.005486274938944054,0.13591910777977592,-0.002193411430289954,0.021052275284408895,0.0,-0.8722827735782321,0.020327812113720645,-0.10479739321999992,0.107048144,0.0002136
1945,0.480903795007959,0.17935140449076772,0.04220664630754064,0.005826986171340501,0.13592368152093248,-0.0022833818315639628,0.021522168538892127,0.0,-0.8052890200861592,0.019631149567367123,-0.10581955980699993,0.107048144,0.0485352
1946,0.48807065737803745,0.18343812294164819,0.04292374511782048,0.006271959723279028,0.13602165454205495,-0.0023816848282318713,0.022012574752997782,0.0,-0.7941505288619499,0.019637577255871445,-0.10693742294299993,0.107048144,0.0712433
1947,0.49653133314515885,0.18784649792934785,0.04362711571399212,0.006881031309196977,0.1405206793446758,-0.0025010610721947183,0.02254157975152174,0.0,-0.8494836102933709,0.01979876390605686,-0.10809010551299994,0.107048144,0.1339844
1948,0.5053688473057834,0.19250194530861836,0.04430873882868403,0.00761731702459009,0.14704485303754855,-0.002638393623332398,0.023100233437034202,0.0,-0.8836935194031733,0.02038813349814586,-0.10925211878099993,0.107048144,0.1554962
1949,0.513687102855546,0.19748346233071776,0.04496056687042824,0.008434157365408139,0.14697201580171315,-0.0027891023384545893,0.02369801547968613,0.0,-0.8735055670992782,0.020250679851668726,-0.11042596610499993,0.107048144,0.1342194
1950,0.5234228372836495,0.20286869878307703,0.04549256322708891,0.009303667242362982,0.15711971503657288,-0.0029384754665034664,0.024344243853969244,0.0,-0.9524290298620028,0.02141557478368356,-0.11161483357699992,0.107048144,0.0885895
1951,0.5354018126838146,0.2082660649700995,0.04590209450299572,0.010181552684117422,0.155484814551096,-0.0030725391175453034,0.02499192779641194,0.0,-0.9442253285947185,0.020827194066749075,-0.11305198864699993,0.107048144,0.0280273
1952,0.5469561615550463,0.2138231742497433,0.04635857022634799,0.011109840320719095,0.16066149717622716,-0.003248145585846343,0.025658780909969193,0.0,-0.9641457282148373,0.021153028430160693,-0.11452066326999992,0.107048144,0.0252716
1953,0.5583490143036636,0.21978250898413962,0.046871235598332034,0.012161176733468377,0.1672783845324235,-0.0034943395291645416,0.026373901078096753,0.0,-0.9901605271010608,0.021755747836835603,-0.11598615180099991,0.107048144,0.0074554
1954,0.5701368278804232,0.22577516299492476,0.047286524576497534,0.01335707961473805,0.17134704416707533,-0.0037859813075897574,0.02709301955939097,0.0,-0.9966919938433814,0.022126576019777508,-0.11751308639199991,0.107048144,0.0075836
1955,0.5833050821146821,0.2317309452671305,0.04769474011524081,0.014705533250960504,0.17925536825528796,-0.0041175512978912435,0.02780771343205566,0.0,-1.054068375802793,0.0226734239802225,-0.11909133982199992,0.107048144,0.0448822
1956,0.5974634217232982,0.23794523354120875,0.04818223710593195,0.01624057607091113,0.18985185933445273,-0.004490257235474743,0.028553428024945048,0.0,-1.1244728299822682,0.023952533992583437,-0.12073604602799992,0.107048144,0.1268921
1957,0.6118753698386463,0.24452214597711924,0.0485872269899419,0.017975161003251687,0.19807062775080936,-0.004902212497683782,0.029342657517254307,0.0,-1.1781085154929498,0.025139678615574784,-0.12241625440199992,0.107048144,0.2038605
1958,0.6267474177413813,0.25092370385980955,0.04899543630508345,0.01983052165844015,0.19450178887679712,-0.005337606111738664,0.030110844463177147,0.0,-1.158403002821177,0.025021013597033376,-0.12415460895499993,0.107048144,0.2141571
1959,0.6416912085889753,0.25706845148074015,0.04957251173506058,0.021794772696870652,0.19856312960240702,-0.005792435723474478,0.030848214177688817,0.0,-1.1940935483904247,0.025645488257107538,-0.12583049334699992,0.107048144,0.1712616
1960,0.6569858436820886,0.26337506320398063,0.05023521404796726,0.024012623345809305,0.20357806801713876,-0.006286073689842992,0.03160500758447767,0.0,-1.2243880919705614,0.026146847960444995,-0.12749249548099992,0.107048144,0.1409912
